DATETIME,lower_position,upper_position,reference_price,reference_contract
2024-06-19 07:44:44,-25.5544341365544,-22.155861752419924,6605.0,20240900.0
2024-06-20 05:13:24,-25.24331937856541,-21.77694821208872,6465.0,20240900.0
2024-06-21 05:31:08,-25.243319378565403,-21.776948212088712,6465.0,20240900.0
2024-06-24 06:51:46,-27.205339817480088,-23.58854907351688,6433.0,20240900.0
2024-06-25 07:05:23,-27.436221745902763,-23.77311801695813,6256.0,20240900.0
2024-06-26 07:07:14,-27.648202717971134,-23.901187903978066,6233.0,20240900.0
2024-06-27 07:02:25,-27.812234126223334,-24.01371954243277,6290.0,20240900.0
2024-06-28 06:41:12,-28.16712727314909,-24.282394353227026,6267.0,20240900.0
2024-07-01 06:21:55,-28.213614578691406,-24.24133359772261,6241.0,20240900.0
