DATETIME,key,trade,fill,fill_datetime,filled_price,locked,order_id,parent,children,active,order_type,algo_to_use,reference_price,limit_price,manual_trade,manual_fill,roll_order,calendar_spread_order,inter_spread_order,generated_datetime,reference_of_controlling_algo
2024-06-20 07:06:34,example/SNGP/20240900,[-1],[-1],2024-06-20 07:06:34,52226.0,False,19,19,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,51562.0,,False,True,False,False,False,2024-06-20 07:05:44,
2024-06-21 07:04:06,example/RTKM/20240900,[-1],[-1],2024-06-21 07:04:06,9142.0,False,20,20,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,9014.0,,False,True,False,False,False,2024-06-21 05:36:43,
2024-06-21 07:06:25,example/SNGP/20240900,[-1],[-1],2024-06-21 07:06:25,54350.0,False,21,21,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,51562.0,,False,True,False,False,False,2024-06-21 05:36:43,
2024-06-24 10:33:03,example/CNY/20240900,[24],[24],2024-06-24 10:33:03,11.0,False,22,22,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,11.0,,False,True,False,False,False,2024-06-24 10:32:31,
2024-06-24 10:33:19,example/MGNT/20240900,[-2],[-2],2024-06-24 10:33:19,6385.0,False,23,23,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6433.0,,False,True,False,False,False,2024-06-24 10:32:31,
2024-06-24 10:33:33,example/MXI/20240900,[1],[1],2024-06-24 10:33:33,3150.0,False,24,24,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3163.0,,False,True,False,False,False,2024-06-24 10:32:31,
2024-06-24 10:33:44,example/RTKM/20240900,[-3],[-3],2024-06-24 10:33:44,9424.0,False,25,25,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,9320.0,,False,True,False,False,False,2024-06-24 10:32:31,
2024-06-24 10:33:59,example/SBRF/20240900,[-1],[-1],2024-06-24 10:33:59,29839.0,False,26,26,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,29687.0,,False,True,False,False,False,2024-06-24 10:32:31,
2024-06-24 10:34:11,example/SIBN/20240900,[-2],[-2],2024-06-24 10:34:11,7151.0,False,27,27,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,7200.0,,False,True,False,False,False,2024-06-24 10:32:31,
2024-06-24 10:34:36,example/SMLT/20240900,[-4],[-4],2024-06-24 10:34:36,3192.0,False,28,28,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3208.0,,False,True,False,False,False,2024-06-24 10:32:31,
2024-06-24 10:34:50,example/SNGP/20240900,[-2],[-2],2024-06-24 10:34:50,53562.0,False,29,29,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,54113.0,,False,True,False,False,False,2024-06-24 10:32:31,
