DATETIME,key,trade,fill,fill_datetime,filled_price,locked,order_id,parent,children,active,order_type,limit_contract,limit_price,reference_contract,reference_price,manual_trade,roll_order,reference_datetime,generated_datetime
2024-06-26 07:11:54,example CNY,[26],[26],2024-06-26 07:11:54,11.0,False,41,,[41.0],False,best,,,20240900.0,11.0,False,False,2024-06-26 07:07:14,2024-06-26 07:07:16
2024-06-26 07:12:07,example MGNT,[-2],[-2],2024-06-26 07:12:07,6318.0,False,42,,[42.0],False,best,,,20240900.0,6233.0,False,False,2024-06-26 07:07:14,2024-06-26 07:07:16
2024-06-26 07:12:19,example MOEX,[-1],[-1],2024-06-26 07:12:19,23597.0,False,43,,[43.0],False,best,,,20240900.0,23523.0,False,False,2024-06-26 07:07:14,2024-06-26 07:07:16
2024-06-26 07:12:31,example MXI,[1],[1],2024-06-26 07:12:31,3169.0,False,44,,[44.0],False,best,,,20240900.0,3156.0,False,False,2024-06-26 07:07:14,2024-06-26 07:07:16
2024-06-26 07:12:42,example RTKM,[-4],[-4],2024-06-26 07:12:42,9299.0,False,45,,[45.0],False,best,,,20240900.0,9418.0,False,False,2024-06-26 07:07:14,2024-06-26 07:07:16
2024-06-26 07:12:54,example SIBN,[-3],[-3],2024-06-26 07:12:54,7213.0,False,46,,[46.0],False,best,,,20240900.0,7198.0,False,False,2024-06-26 07:07:14,2024-06-26 07:07:16
2024-06-26 07:13:06,example SMLT,[-6],[-6],2024-06-26 07:13:06,3168.0,False,47,,[47.0],False,best,,,20240900.0,3123.0,False,False,2024-06-26 07:07:14,2024-06-26 07:07:16
2024-06-26 07:13:20,example SNGP,[-2],[-2],2024-06-26 07:13:20,54558.0,False,48,,[48.0],False,best,,,20240900.0,53879.0,False,False,2024-06-26 07:07:15,2024-06-26 07:07:16
2024-06-27 07:14:52,example AFLT,[2],[2],2024-06-27 07:14:52,6654.0,False,49,,[49.0],False,best,,,20240900.0,6643.0,False,False,2024-06-27 07:02:24,2024-06-27 07:02:27
2024-06-27 07:15:02,example CNY,[24],[24],2024-06-27 07:15:02,11.0,False,50,,[50.0],False,best,,,20240900.0,11.0,False,False,2024-06-27 07:02:25,2024-06-27 07:02:27
2024-06-27 07:15:14,example MGNT,[-2],[-2],2024-06-27 07:15:14,6291.0,False,51,,[51.0],False,best,,,20240900.0,6290.0,False,False,2024-06-27 07:02:25,2024-06-27 07:02:27
2024-06-27 07:15:25,example MOEX,[-1],[-1],2024-06-27 07:15:25,23799.0,False,52,,[52.0],False,best,,,20240900.0,23797.0,False,False,2024-06-27 07:02:25,2024-06-27 07:02:27
2024-06-27 07:15:41,example MXI,[1],[1],2024-06-27 07:15:41,3180.0,False,53,,[53.0],False,best,,,20240900.0,3183.0,False,False,2024-06-27 07:02:25,2024-06-27 07:02:27
2024-06-27 07:15:54,example RTKM,[-6],[-6],2024-06-27 07:15:54,9277.0,False,54,,[54.0],False,best,,,20240900.0,9333.0,False,False,2024-06-27 07:02:25,2024-06-27 07:02:27
