DATE_TIME,current_contract,next_contract,carry_contract
2020-06-15,20200600,20200900,20200900
2020-09-15,20200900,20201200,20201200
2020-12-15,20201200,20210300,20210300
2021-03-15,20210300,20210600,20210600
2021-06-15,20210600,20210900,20210900
2021-09-15,20210900,20211200,20211200
2021-12-15,20211200,20220300,20220300
2022-03-29,20220300,20220600,20220600
2022-06-15,20220600,20220900,20220900
2022-09-15,20220900,20221200,20221200
2022-12-15,20221200,20230300,20230300
2023-03-15,20230300,20230600,20230600
2023-06-15,20230600,20230900,20230900
2023-09-15,20230900,20231200,20231200
