index,PRICE,CARRY,PRICE_CONTRACT,CARRY_CONTRACT
2023-09-19 23:00:00,2057.0,2169.0,20231200,20240300
2023-09-20 23:00:00,2091.0,2001.0,20231200,20240300
2023-09-21 23:00:00,2063.0,2100.0,20231200,20240300
2023-09-22 23:00:00,2126.0,2153.0,20231200,20240300
2023-09-25 23:00:00,2114.0,2100.0,20231200,20240300
2023-09-26 23:00:00,2153.0,2068.0,20231200,20240300
2023-09-27 23:00:00,2137.0,2200.0,20231200,20240300
2023-09-28 23:00:00,2192.0,2250.0,20231200,20240300
2023-09-29 23:00:00,2174.0,2254.0,20231200,20240300
2023-10-02 23:00:00,2173.0,2191.0,20231200,20240300
2023-10-03 23:00:00,2144.0,2119.0,20231200,20240300
2023-10-04 23:00:00,2138.0,2149.0,20231200,20240300
2023-10-05 23:00:00,2080.0,2111.0,20231200,20240300
2023-10-06 23:00:00,2057.0,2111.0,20231200,20240300
2023-10-09 23:00:00,2135.0,2140.0,20231200,20240300
2023-10-10 23:00:00,2161.0,2155.0,20231200,20240300
2023-10-11 23:00:00,2172.0,2145.0,20231200,20240300
2023-10-12 23:00:00,2166.0,2148.0,20231200,20240300
2023-10-13 23:00:00,2152.0,2148.0,20231200,20240300
2023-10-16 23:00:00,2150.0,2218.0,20231200,20240300
2023-10-17 23:00:00,2208.0,2290.0,20231200,20240300
2023-10-18 23:00:00,2172.0,2296.0,20231200,20240300
2023-10-19 23:00:00,2174.0,2214.0,20231200,20240300
2023-10-20 23:00:00,2133.0,2200.0,20231200,20240300
2023-10-23 23:00:00,2177.0,2196.0,20231200,20240300
2023-10-24 23:00:00,2127.0,2196.0,20231200,20240300
2023-10-25 23:00:00,2131.0,2196.0,20231200,20240300
2023-10-26 23:00:00,2104.0,2174.0,20231200,20240300
2023-10-27 23:00:00,2096.0,2174.0,20231200,20240300
2023-10-30 23:00:00,2081.0,2167.0,20231200,20240300
2023-10-31 23:00:00,2108.0,2171.0,20231200,20240300
2023-11-01 23:00:00,2118.0,2200.0,20231200,20240300
2023-11-02 23:00:00,2122.0,2200.0,20231200,20240300
2023-11-03 23:00:00,2102.0,2200.0,20231200,20240300
2023-11-06 23:00:00,2149.0,2153.0,20231200,20240300
2023-11-07 23:00:00,2180.0,2284.0,20231200,20240300
2023-11-08 23:00:00,2197.0,2264.0,20231200,20240300
2023-11-09 23:00:00,2143.0,2244.0,20231200,20240300
2023-11-10 23:00:00,2172.0,2254.0,20231200,20240300
2023-11-13 23:00:00,2228.0,2285.0,20231200,20240300
2023-11-14 23:00:00,2196.0,2285.0,20231200,20240300
2023-11-15 23:00:00,2205.0,2330.0,20231200,20240300
2023-11-16 23:00:00,2206.0,2315.0,20231200,20240300
2023-11-17 23:00:00,2234.0,2334.0,20231200,20240300
2023-11-20 23:00:00,2228.0,2285.0,20231200,20240300
2023-11-21 23:00:00,2238.0,2285.0,20231200,20240300
2023-11-22 23:00:00,2303.0,2361.0,20231200,20240300
2023-11-23 23:00:00,2322.0,2394.0,20231200,20240300
2023-11-24 23:00:00,2342.0,2453.0,20231200,20240300
2023-11-27 23:00:00,2245.0,2297.0,20231200,20240300
2023-11-28 23:00:00,2248.0,2312.0,20231200,20240300
2023-11-29 23:00:00,2235.0,2311.0,20231200,20240300
2023-11-30 23:00:00,2170.0,2224.0,20231200,20240300
2023-12-01 23:00:00,2144.0,2222.0,20231200,20240300
2023-12-04 23:00:00,2163.0,2256.0,20231200,20240300
2023-12-05 23:00:00,2157.0,2271.0,20231200,20240300
2023-12-06 23:00:00,2092.0,2208.0,20231200,20240300
2023-12-07 23:00:00,2111.0,2209.0,20231200,20240300
2023-12-08 23:00:00,2121.0,2218.0,20231200,20240300
2023-12-11 23:00:00,2072.0,2185.0,20231200,20240300
2023-12-12 23:00:00,2066.0,2158.0,20231200,20240300
2023-12-13 23:00:00,2032.0,2139.0,20231200,20240300
2023-12-14 23:00:00,1976.0,2108.0,20231200,20240300
2023-12-15 23:00:00,2012.0,2155.0,20231200,20240300
2023-12-18 23:00:00,2215.0,2139.0,20240300,20240600
2023-12-19 23:00:00,2184.0,2299.0,20240300,20240600
2023-12-20 23:00:00,2215.0,2370.0,20240300,20240600
2023-12-21 23:00:00,2178.0,2309.0,20240300,20240600
2023-12-22 23:00:00,2197.0,2298.0,20240300,20240600
2023-12-25 23:00:00,2241.0,2298.0,20240300,20240600
2023-12-26 23:00:00,2215.0,2262.0,20240300,20240600
2023-12-27 23:00:00,2289.0,2262.0,20240300,20240600
2023-12-28 23:00:00,2270.0,2262.0,20240300,20240600
2023-12-29 23:00:00,2267.0,2349.0,20240300,20240600
2024-01-03 23:00:00,2322.0,2344.0,20240300,20240600
2024-01-04 23:00:00,2316.0,2344.0,20240300,20240600
2024-01-05 23:00:00,2296.0,2346.0,20240300,20240600
2024-01-08 23:00:00,2305.0,2397.0,20240300,20240600
2024-01-09 23:00:00,2313.0,2377.0,20240300,20240600
2024-01-10 23:00:00,2308.0,2349.0,20240300,20240600
2024-01-11 23:00:00,2287.0,2366.0,20240300,20240600
2024-01-12 23:00:00,2288.0,2367.0,20240300,20240600
2024-01-15 23:00:00,2272.0,2305.0,20240300,20240600
2024-01-16 23:00:00,2275.0,2345.0,20240300,20240600
2024-01-17 23:00:00,2389.0,2456.0,20240300,20240600
2024-01-18 23:00:00,2417.0,2575.0,20240300,20240600
2024-01-19 23:00:00,2403.0,2494.0,20240300,20240600
2024-01-22 23:00:00,2441.0,2530.0,20240300,20240600
2024-01-23 23:00:00,2486.0,2589.0,20240300,20240600
2024-01-24 23:00:00,2544.0,2601.0,20240300,20240600
2024-01-25 23:00:00,2508.0,2613.0,20240300,20240600
2024-01-26 23:00:00,2518.0,2602.0,20240300,20240600
2024-01-29 23:00:00,2511.0,2601.0,20240300,20240600
2024-01-30 23:00:00,2479.0,2580.0,20240300,20240600
2024-01-31 23:00:00,2522.0,2639.0,20240300,20240600
2024-02-01 23:00:00,2520.0,2639.0,20240300,20240600
2024-02-02 23:00:00,2575.0,2639.0,20240300,20240600
2024-02-05 23:00:00,2616.0,2700.0,20240300,20240600
2024-02-06 23:00:00,2612.0,2687.0,20240300,20240600
2024-02-07 23:00:00,2696.0,2762.0,20240300,20240600
2024-02-08 23:00:00,2618.0,2722.0,20240300,20240600
2024-02-09 23:00:00,2592.0,2713.0,20240300,20240600
2024-02-12 23:00:00,2576.0,2713.0,20240300,20240600
2024-02-13 23:00:00,2622.0,2712.0,20240300,20240600
2024-02-14 23:00:00,2617.0,2720.0,20240300,20240600
2024-02-15 23:00:00,2667.0,2777.0,20240300,20240600
2024-02-16 23:00:00,2643.0,2735.0,20240300,20240600
2024-02-19 23:00:00,2656.0,2761.0,20240300,20240600
2024-02-20 23:00:00,2596.0,2692.0,20240300,20240600
2024-02-21 23:00:00,2541.0,2641.0,20240300,20240600
2024-02-22 23:00:00,2558.0,2675.0,20240300,20240600
2024-02-26 23:00:00,2690.0,2787.0,20240300,20240600
2024-02-27 23:00:00,2691.0,2786.0,20240300,20240600
2024-02-28 23:00:00,2689.0,2775.0,20240300,20240600
2024-02-29 23:00:00,2692.0,2781.0,20240300,20240600
2024-03-01 23:00:00,2755.0,2830.0,20240300,20240600
2024-03-04 23:00:00,2843.0,2875.0,20240300,20240600
2024-03-05 23:00:00,2844.0,2884.0,20240300,20240600
2024-03-06 23:00:00,2813.0,2848.0,20240300,20240600
2024-03-07 23:00:00,2804.0,2850.0,20240300,20240600
