index,PRICE,CARRY,PRICE_CONTRACT,CARRY_CONTRACT
2023-09-19 23:00:00,26249.0,26979.0,20231200,20240300
2023-09-20 23:00:00,26449.0,26977.0,20231200,20240300
2023-09-21 23:00:00,25940.0,26584.0,20231200,20240300
2023-09-22 23:00:00,26230.0,26799.0,20231200,20240300
2023-09-25 23:00:00,26237.0,26875.0,20231200,20240300
2023-09-26 23:00:00,26611.0,27327.0,20231200,20240300
2023-09-27 23:00:00,26475.0,27300.0,20231200,20240300
2023-09-28 23:00:00,26673.0,27455.0,20231200,20240300
2023-09-29 23:00:00,27122.0,27918.0,20231200,20240300
2023-10-02 23:00:00,26671.0,27513.0,20231200,20240300
2023-10-03 23:00:00,26948.0,27756.0,20231200,20240300
2023-10-04 23:00:00,26859.0,27675.0,20231200,20240300
2023-10-05 23:00:00,26829.0,27695.0,20231200,20240300
2023-10-06 23:00:00,26965.0,27835.0,20231200,20240300
2023-10-09 23:00:00,27359.0,28077.0,20231200,20240300
2023-10-10 23:00:00,27381.0,28085.0,20231200,20240300
2023-10-11 23:00:00,27204.0,27944.0,20231200,20240300
2023-10-12 23:00:00,27259.0,27990.0,20231200,20240300
2023-10-13 23:00:00,27129.0,27879.0,20231200,20240300
2023-10-16 23:00:00,27701.0,28430.0,20231200,20240300
2023-10-17 23:00:00,27866.0,28637.0,20231200,20240300
2023-10-18 23:00:00,27591.0,28439.0,20231200,20240300
2023-10-19 23:00:00,27653.0,28479.0,20231200,20240300
2023-10-20 23:00:00,27763.0,28637.0,20231200,20240300
2023-10-23 23:00:00,27813.0,28698.0,20231200,20240300
2023-10-24 23:00:00,27820.0,28720.0,20231200,20240300
2023-10-25 23:00:00,28116.0,28997.0,20231200,20240300
2023-10-26 23:00:00,27693.0,28640.0,20231200,20240300
2023-10-27 23:00:00,27746.0,28691.0,20231200,20240300
2023-10-30 23:00:00,27655.0,28601.0,20231200,20240300
2023-10-31 23:00:00,27545.0,28534.0,20231200,20240300
2023-11-01 23:00:00,27569.0,28539.0,20231200,20240300
2023-11-02 23:00:00,27450.0,28481.0,20231200,20240300
2023-11-03 23:00:00,27571.0,28603.0,20231200,20240300
2023-11-06 23:00:00,27917.0,28927.0,20231200,20240300
2023-11-07 23:00:00,28004.0,29022.0,20231200,20240300
2023-11-08 23:00:00,28340.0,29361.0,20231200,20240300
2023-11-09 23:00:00,28308.0,29361.0,20231200,20240300
2023-11-10 23:00:00,28558.0,29621.0,20231200,20240300
2023-11-13 23:00:00,28929.0,29986.0,20231200,20240300
2023-11-14 23:00:00,28671.0,29805.0,20231200,20240300
2023-11-15 23:00:00,28794.0,29939.0,20231200,20240300
2023-11-16 23:00:00,28578.0,29732.0,20231200,20240300
2023-11-17 23:00:00,28670.0,29800.0,20231200,20240300
2023-11-20 23:00:00,28783.0,29925.0,20231200,20240300
2023-11-21 23:00:00,28740.0,29844.0,20231200,20240300
2023-11-22 23:00:00,28986.0,30093.0,20231200,20240300
2023-11-23 23:00:00,29009.0,30141.0,20231200,20240300
2023-11-24 23:00:00,29008.0,30137.0,20231200,20240300
2023-11-27 23:00:00,28371.0,29618.0,20231200,20240300
2023-11-28 23:00:00,28345.0,29540.0,20231200,20240300
2023-11-29 23:00:00,28024.0,29233.0,20231200,20240300
2023-11-30 23:00:00,27892.0,29105.0,20231200,20240300
2023-12-01 23:00:00,27751.0,28863.0,20231200,20240300
2023-12-04 23:00:00,27460.0,28525.0,20231200,20240300
2023-12-05 23:00:00,27941.0,28963.0,20231200,20240300
2023-12-06 23:00:00,27066.0,28170.0,20231200,20240300
2023-12-07 23:00:00,26739.0,27709.0,20231200,20240300
2023-12-08 23:00:00,26663.0,27664.0,20231200,20240300
2023-12-11 23:00:00,25777.0,26842.0,20231200,20240300
2023-12-12 23:00:00,26020.0,27077.0,20231200,20240300
2023-12-13 23:00:00,25990.0,27009.0,20231200,20240300
2023-12-14 23:00:00,25890.0,26911.0,20231200,20240300
2023-12-15 23:00:00,26822.0,27922.0,20231200,20240300
2023-12-18 23:00:00,28110.0,27928.0,20240300,20240600
2023-12-19 23:00:00,27879.0,27750.0,20240300,20240600
2023-12-20 23:00:00,27958.0,27710.0,20240300,20240600
2023-12-21 23:00:00,27673.0,27437.0,20240300,20240600
2023-12-22 23:00:00,28303.0,27467.0,20240300,20240600
2023-12-25 23:00:00,28280.0,27533.0,20240300,20240600
2023-12-26 23:00:00,28380.0,27741.0,20240300,20240600
2023-12-27 23:00:00,28236.0,27542.0,20240300,20240600
2023-12-28 23:00:00,28383.0,27589.0,20240300,20240600
2023-12-29 23:00:00,28235.0,27107.0,20240300,20240600
2024-01-03 23:00:00,28468.0,27390.0,20240300,20240600
2024-01-04 23:00:00,28431.0,27240.0,20240300,20240600
2024-01-05 23:00:00,28295.0,27195.0,20240300,20240600
2024-01-08 23:00:00,28630.0,27376.0,20240300,20240600
2024-01-09 23:00:00,28584.0,27438.0,20240300,20240600
2024-01-10 23:00:00,28496.0,27294.0,20240300,20240600
2024-01-11 23:00:00,28558.0,27108.0,20240300,20240600
2024-01-12 23:00:00,28496.0,27034.0,20240300,20240600
2024-01-15 23:00:00,28465.0,27056.0,20240300,20240600
2024-01-16 23:00:00,28472.0,26970.0,20240300,20240600
2024-01-17 23:00:00,28664.0,27017.0,20240300,20240600
2024-01-18 23:00:00,28643.0,27011.0,20240300,20240600
2024-01-19 23:00:00,28298.0,26837.0,20240300,20240600
2024-01-22 23:00:00,28298.0,26765.0,20240300,20240600
2024-01-23 23:00:00,28378.0,26800.0,20240300,20240600
2024-01-24 23:00:00,28155.0,26650.0,20240300,20240600
2024-01-25 23:00:00,27964.0,26539.0,20240300,20240600
2024-01-26 23:00:00,27942.0,26535.0,20240300,20240600
2024-01-29 23:00:00,28062.0,26823.0,20240300,20240600
2024-01-30 23:00:00,28178.0,26965.0,20240300,20240600
2024-01-31 23:00:00,28274.0,27124.0,20240300,20240600
2024-02-01 23:00:00,28319.0,27196.0,20240300,20240600
2024-02-02 23:00:00,28302.0,27145.0,20240300,20240600
2024-02-05 23:00:00,28393.0,27219.0,20240300,20240600
2024-02-06 23:00:00,28486.0,27142.0,20240300,20240600
2024-02-07 23:00:00,28834.0,27341.0,20240300,20240600
2024-02-08 23:00:00,28917.0,27260.0,20240300,20240600
2024-02-09 23:00:00,28894.0,27307.0,20240300,20240600
2024-02-12 23:00:00,29312.0,27657.0,20240300,20240600
2024-02-13 23:00:00,29229.0,27558.0,20240300,20240600
2024-02-14 23:00:00,29460.0,27758.0,20240300,20240600
2024-02-15 23:00:00,29483.0,27670.0,20240300,20240600
2024-02-16 23:00:00,29257.0,27369.0,20240300,20240600
2024-02-19 23:00:00,29380.0,27421.0,20240300,20240600
2024-02-20 23:00:00,29087.0,27253.0,20240300,20240600
2024-02-21 23:00:00,28570.0,26773.0,20240300,20240600
2024-02-22 23:00:00,28698.0,26919.0,20240300,20240600
2024-02-26 23:00:00,29415.0,27594.0,20240300,20240600
2024-02-27 23:00:00,29578.0,27739.0,20240300,20240600
2024-02-28 23:00:00,29520.0,27790.0,20240300,20240600
2024-02-29 23:00:00,29604.0,28163.0,20240300,20240600
2024-03-01 23:00:00,29702.0,28299.0,20240300,20240600
2024-03-04 23:00:00,30120.0,28695.0,20240300,20240600
2024-03-05 23:00:00,30093.0,28690.0,20240300,20240600
2024-03-06 23:00:00,30034.0,28583.0,20240300,20240600
2024-03-07 23:00:00,30090.0,28633.0,20240300,20240600
2024-03-11 23:00:00,30168.0,28699.0,20240300,20240600
2024-03-12 23:00:00,30190.0,28716.0,20240300,20240600
2024-03-13 23:00:00,30065.0,28575.0,20240300,20240600
2024-03-14 23:00:00,29743.0,28235.0,20240300,20240600
2024-03-15 23:00:00,28356.0,29450.0,20240600,20240900
2024-03-18 23:00:00,28805.0,29598.0,20240600,20240900
2024-03-19 23:00:00,30745.0,29413.0,20240600,20240900
2024-03-20 23:00:00,30754.0,29500.0,20240600,20240900
2024-03-21 23:00:00,30790.0,29566.0,20240600,20240900
2024-03-22 23:00:00,30701.0,29407.0,20240600,20240900
2024-03-25 23:00:00,30643.0,29377.0,20240600,20240900
2024-03-26 23:00:00,30525.0,29276.0,20240600,20240900
2024-03-27 23:00:00,30645.0,29301.0,20240600,20240900
2024-03-28 23:00:00,31036.0,29670.0,20240600,20240900
2024-03-29 23:00:00,31034.0,29620.0,20240600,20240900
2024-04-01 23:00:00,31130.0,29835.0,20240600,20240900
2024-04-02 23:00:00,31172.0,29810.0,20240600,20240900
2024-04-03 23:00:00,31759.0,30306.0,20240600,20240900
2024-04-04 23:00:00,31687.0,30387.0,20240600,20240900
2024-04-05 23:00:00,31686.0,30424.0,20240600,20240900
2024-04-08 23:00:00,31782.0,30521.0,20240600,20240900
2024-04-09 23:00:00,31725.0,30526.0,20240600,20240900
2024-04-10 23:00:00,31683.0,30428.0,20240600,20240900
2024-04-11 23:00:00,31761.0,30525.0,20240600,20240900
2024-04-12 23:00:00,31705.0,30410.0,20240600,20240900
2024-04-15 23:00:00,31775.0,30431.0,20240600,20240900
2024-04-16 23:00:00,31789.0,30375.0,20240600,20240900
2024-04-17 23:00:00,31554.0,30229.0,20240600,20240900
2024-04-18 23:00:00,31780.0,30353.0,20240600,20240900
2024-04-19 23:00:00,31673.0,30328.0,20240600,20240900
