Instrument,Description,Pointsize,Currency,AssetClass,PerBlock,Percentage,PerTrade,Region
TRY,"",1000.0,RUB,FX,0.14,0.0,0.0,RUS
UCNY,"",1000.0,CNY,FX,4.27,0.0,0.0,RUS
USDRUBTOM,"",1000.0,RUB,FX,4.28,0.0,0.0,RUS
VTBR,"",100000.0,RUB,Sector,0.47,0.0,0.0,RUS
RVI,"",2.0,RUB,Equity,0.3,0.0,0.0,RUS
VKCO,"",10.0,RUB,Sector,1.28,0.0,0.0,RUS
WHEAT,"",1.0,RUB,Ags,2.65,0.0,0.0,RUS
WUSH,"",10.0,RUB,Sector,0.5,0.0,0.0,RUS
YNDF,"",10.0,RUB,Sector,6.5,0.0,0.0,RUS
Zn,"",1.0,USD,Metals,29.27,0.0,0.0,RUS
