Instrument,Description,Pointsize,Currency,AssetClass,PerBlock,Percentage,PerTrade,Region
AED,"",1000.0,RUB,FX,1.17,0.0,0.0,RUS
AFLT,"",1.0,RUB,Sector,0.75,0.0,0.0,RUS
AFKS,"",1.0,RUB,Sector,3.55,0.0,0.0,RUS
ALRS,"",1.0,RUB,Sector,1.41,0.0,0.0,RUS
AMD,"",1000.0,RUB,FX,1.1,0.0,0.0,RUS
ASTR,"",1.0,RUB,Sector,0.11,0.0,0.0,RUS
AUDU,"",1000.0,USD,FX,2.8,0.0,0.0,RUS
BELU,"",1.0,RUB,Sector,1.11,0.0,0.0,RUS
BANE,"",1.0,RUB,Sector,0.53,0.0,0.0,RUS
BR,"",10.0,USD,OilGas,10.57,0.0,0.0,RUS
BSPB,"",1.0,RUB,Sector,0.56,0.0,0.0,RUS
BYN,"",1000.0,RUB,FX,1.34,0.0,0.0,RUS
CHMF,"",1.0,RUB,Sector,31.22,0.0,0.0,RUS
CBOM,"",1.0,RUB,Sector,1.55,0.0,0.0,RUS
CNYRUBTOM,"",1000.0,RUB,FX,0.59,0.0,0.0,RUS
Co,"",0.1,USD,OilGas,10.21,0.0,0.0,RUS
CNY,"",1000.0,RUB,FX,0.59,0.0,0.0,RUS
CNI,"",1.0,RUB,Equity,0.57,0.0,0.0,RUS
DAX,"",0.01,EUR,Equity,2.8,0.0,0.0,RUS
ED,"",1000.0,USD,FX,4.61,0.0,0.0,RUS
Eu,"",1.0,RUB,FX,4.65,0.0,0.0,RUS
EURRUBTOM,"",1000.0,RUB,FX,4.61,0.0,0.0,RUS
FLOT,"",1.0,RUB,Sector,2.68,0.0,0.0,RUS
FNI,"",1.0,RUB,Equity,0.66,0.0,0.0,RUS
FEES,"",1.0,RUB,Sector,2.38,0.0,0.0,RUS
FIVE,"",1.0,RUB,Sector,4.73,0.0,0.0,RUS
GOLD,"",1.0,USD,Metals,24.89,0.0,0.0,RUS
GMKN,"",1.0,RUB,Sector,2.89,0.0,0.0,RUS
GLDRUBTOM,"",1.0,RUB,Metals,0.78,0.0,0.0,RUS
GL,"",1.0,RUB,Metals,0.79,0.0,0.0,RUS
GBPU,"",1000.0,USD,FX,5.39,0.0,0.0,RUS
GAZR,"",1.0,RUB,Sector,3.19,0.0,0.0,RUS
HKD,"",1000.0,RUB,FX,0.47,0.0,0.0,RUS
HOME,"",0.1,RUB,Equity,1.9,0.0,0.0,RUS
HANG,"",0.01,USD,Equity,0.4,0.0,0.0,RUS
HYDR,"",1.0,RUB,Sector,1.48,0.0,0.0,RUS
INR,"",10000.0,RUB,FX,0.52,0.0,0.0,RUS
IMOEX,"",1.0,RUB,Equity,2.07,0.0,0.0,RUS
IRAO,"",1.0,RUB,Sector,8.0,0.0,0.0,RUS
ISKJ,"",10.0,RUB,Sector,0.21,0.0,0.0,RUS
KMAZ,"",10.0,RUB,Sector,0.37,0.0,0.0,RUS
KZT,"",1000.0,RUB,FX,0.94,0.0,0.0,RUS
LKOH,"",1.0,RUB,Sector,14.0,0.0,0.0,RUS
MTLR,"",1.0,RUB,Sector,5.63,0.0,0.0,RUS
MOEX,"",1.0,RUB,Sector,3.81,0.0,0.0,RUS
1MFR,"",1000000.0,RUB,STIR,13.27,0.0,0.0,RUS
MAGN,"",1.0,RUB,Sector,10.56,0.0,0.0,RUS
MXI,"",10,RUB,Equity,2.1,0.0,0.0,RUS
MGNT,"",1.0,RUB,Sector,1.44,0.0,0.0,RUS
MTSI,"",1.0,RUB,Sector,5.55,0.0,0.0,RUS
MVID,"",1.0,RUB,Sector,0.37,0.0,0.0,RUS
MIX,"",1.0,RUB,Equity,21.02,0.0,0.0,RUS
NASD,"",0.01,USD,Equity,3.18,0.0,0.0,RUS
NG,"",100.0,USD,OilGas,2.16,0.0,0.0,RUS
NOTK,"",1.0,RUB,Sector,27.18,0.0,0.0,RUS
Nl,"",0.1,USD,Metals,19.83,0.0,0.0,RUS
NLMK,"",1.0,RUB,Sector,3.81,0.0,0.0,RUS
OGI,"",1.0,RUB,Equity,0.59,0.0,0.0,RUS
OZON,"",1.0,RUB,Sector,5.98,0.0,0.0,RUS
PLD,"",1.0,USD,Metals,11.98,0.0,0.0,RUS
PHOR,"",1.0,RUB,Sector,1.34,0.0,0.0,RUS
PIKK,"",1.0,RUB,Sector,1.63,0.0,0.0,RUS
POLY,"",1.0,RUB,Sector,0.68,0.0,0.0,RUS
POSI,"",1.0,RUB,Sector,0.45,0.0,0.0,RUS
PLT,"",1.0,USD,Metals,11.01,0.0,0.0,RUS
PLZL,"",1.0,RUB,Sector,21.57,0.0,0.0,RUS
RGBI,"",1.0,RUB,Equity,0.78,0.0,0.0,RUS
RTS,"",0.02,USD,Equity,13.17,0.0,0.0,RUS
RUAL,"",1.0,RUB,Sector,0.68,0.0,0.0,RUS
RTSM,"",0.2,USD,Equity,1.32,0.0,0.0,RUS
ROSN,"",1.0,RUB,Sector,11.29,0.0,0.0,RUS
RUON,"",1000000.0,RUB,STIR,13.36,0.0,0.0,RUS
RTKM,"",1.0,RUB,Sector,1.71,0.0,0.0,RUS
SOFL,"",1.0,RUB,Sector,0.31,0.0,0.0,RUS
SUGR,"",1016,RUB,Ags,6.24,0.0,0.0,RUS
SPBE,"",1.0,RUB,Sector,0.17,0.0,0.0,RUS
SPYF,"",1.0,USD,Equity,9.11,0.0,0.0,RUS
SNGP,"",1.0,RUB,Sector,11.93,0.0,0.0,RUS
Si,"",1.0,RUB,FX,4.3,0.0,0.0,RUS
SNGR,"",1.0,RUB,Sector,5.78,0.0,0.0,RUS
SIBN,"",1.0,RUB,Sector,1.58,0.0,0.0,RUS
SBPR,"",1.0,RUB,Sector,5.67,0.0,0.0,RUS
SBRF,"",1.0,RUB,Sector,5.67,0.0,0.0,RUS
SMLT,"",1.0,RUB,Sector,0.71,0.0,0.0,RUS
SUGAR,"",0.1,RUB,Ags,0.76,0.0,0.0,RUS
SILV,"",10.0,USD,Metals,2.84,0.0,0.0,RUS
STOX,"",0.01,EUR,Equity,0.94,0.0,0.0,RUS
SGZH,"",1.0,RUB,Sector,0.77,0.0,0.0,RUS
TRNF,"",1.0,RUB,Sector,0.33,0.0,0.0,RUS
TATN,"",1.0,RUB,Sector,13.86,0.0,0.0,RUS
TRY,"",1000.0,RUB,FX,0.14,0.0,0.0,RUS
UCNY,"",1000.0,CNY,FX,4.27,0.0,0.0,RUS
USDRUBTOM,"",1000.0,RUB,FX,4.28,0.0,0.0,RUS
VTBR,"",1.0,RUB,Sector,0.47,0.0,0.0,RUS
RVI,"",2.0,RUB,Equity,0.3,0.0,0.0,RUS
VKCO,"",1.0,RUB,Sector,1.28,0.0,0.0,RUS
WHEAT,"",1.0,RUB,Ags,2.65,0.0,0.0,RUS
WUSH,"",1.0,RUB,Sector,0.5,0.0,0.0,RUS
YNDF,"",1.0,RUB,Sector,6.5,0.0,0.0,RUS
Zn,"",1.0,USD,Metals,29.27,0.0,0.0,RUS
