DATETIME,position
2024-06-19 07:57:58,-48.0
2024-06-24 10:34:11,-50.0
2024-06-25 07:13:27,-53.0
2024-06-26 07:12:54,-56.0
2024-06-27 07:16:06,-60.0
2024-06-28 07:11:00,-66.0
2024-07-01 11:36:49,-72.0
