index,price
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,-5.088757396449704
2023-09-26,-6.8639053254437865
2023-09-27,-1.128812016385981
2023-09-28,5.384615384615384
2023-09-29,9.068414103379139
2023-10-02,6.648676767019962
2023-10-03,4.8207537606922655
2023-10-04,9.219338014641115
2023-10-05,-5.959916578997319
2023-10-06,-12.91148776792996
2023-10-09,-9.034990168733168
2023-10-10,10.32170636679511
2023-10-11,16.773906169249116
2023-10-12,5.782687318234165
2023-10-13,12.45387869381187
2023-10-16,17.484626348137773
2023-10-17,19.161542129031165
2023-10-18,16.739147577130435
2023-10-19,18.913049194247215
2023-10-20,19.227426654582825
2023-10-23,19.74247555157685
2023-10-24,19.914158517197755
2023-10-25,19.971386172399857
2023-10-26,8.923501056691666
2023-10-27,13.453008057020979
2023-10-30,6.894882158364112
2023-10-31,-1.3928547231075878
2023-11-01,-5.44081072929895
2023-11-02,-8.292476815869644
2023-11-03,-16.097492271956586
2023-11-06,-15.61376464161638
2023-11-07,2.949681758579673
2023-11-08,14.316560586193226
2023-11-09,16.05423814411569
2023-11-10,10.238290542759529
2023-11-13,12.643532745022407
2023-11-14,12.841961895399626
2023-11-15,-0.6062238629210898
2023-11-16,-13.535407954307031
2023-11-17,-16.552918657309394
2023-11-20,-12.03746334098272
2023-11-21,-11.942003198829775
2023-11-22,-2.4568582091337348
2023-11-23,9.474656935470103
2023-11-24,16.491552311823366
2023-11-27,18.830517437274455
2023-11-28,19.610172479091485
2023-11-29,19.870057493030497
2023-11-30,19.673600197606063
2023-12-01,19.891200065868688
2023-12-04,13.713733355289563
2023-12-05,9.911651171480251
2023-12-06,11.35341932754192
2023-12-07,-9.548860224152692
2023-12-08,-16.51628674138423
2023-12-11,-18.838762247128077
2023-12-12,-19.61292074904269
2023-12-13,-18.41160376543546
2023-12-14,-14.429075218660907
2023-12-15,4.1054956371722024
2023-12-18,14.701831879057401
2023-12-19,12.283530736545307
2023-12-20,17.427843578848435
2023-12-21,18.517614526282813
2023-12-22,19.505871508760936
2023-12-25,19.835290502920312
2023-12-26,19.94509683430677
2023-12-27,19.981698944768922
2023-12-28,19.4859631403198
2023-12-29,19.06674961820184
2024-01-01,19.06674961820184
2024-01-02,19.06674961820184
2024-01-03,19.95088155885273
2024-01-04,19.987215748194547
2024-01-05,15.82026070889141
2024-01-08,15.200519136963878
2024-01-09,15.682638382098697
2024-01-10,18.564393260276677
2024-01-11,19.52185357227919
2024-01-12,13.522417046514272
2024-01-15,12.130795987339523
2024-01-16,5.59247518146604
2024-01-17,-1.6652897889244809
2024-01-18,-13.57472435918074
2024-01-19,-12.143954941072286
2024-01-22,-13.333699487179295
2024-01-23,-14.603296733105847
2024-01-24,-13.756654449108183
2024-01-25,-14.282521183625368
2024-01-26,-18.094173736620494
2024-01-29,-7.031391237079432
2024-01-30,10.989536258900948
2024-01-31,16.99651208681077
2024-02-01,18.998837362326974
2024-02-02,19.666279120781958
2024-02-05,13.869950929479609
2024-02-06,17.956650309830824
2024-02-07,19.31888343661075
2024-02-08,19.772961145536968
2024-02-09,18.54262780844319
2024-02-12,13.565491320763048
2024-02-13,13.39301237916537
2024-02-14,17.79767079305513
2024-02-15,19.26589026435171
2024-02-16,11.642421975242458
2024-02-19,15.189938238172127
2024-02-20,9.188873284173967
2024-02-21,-10.270375571942012
2024-02-22,-11.471506572028721
2024-02-23,-11.471506572028721
