DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2024-01-12 23:00:00,2359.0,2359.0,2359.0,2359.0,6.0
2024-01-16 23:00:00,2026.0,2696.0,2026.0,2319.0,47.0
2024-01-17 23:00:00,2690.0,2690.0,2191.0,2329.0,117.0
2024-01-18 23:00:00,2292.0,2408.0,2102.0,2306.0,103.0
2024-01-19 23:00:00,2265.0,2370.0,2263.0,2370.0,19.0
2024-01-22 23:00:00,2379.0,2380.0,2379.0,2380.0,3.0
2024-01-23 23:00:00,2355.0,2355.0,2355.0,2355.0,18.0
2024-01-24 23:00:00,2351.0,2351.0,2351.0,2351.0,1.0
2024-01-25 23:00:00,2361.0,2429.0,2359.0,2364.0,112.0
2024-01-26 23:00:00,2440.0,2440.0,2361.0,2432.0,109.0
2024-01-29 23:00:00,2470.0,2470.0,2425.0,2425.0,8.0
2024-01-30 23:00:00,2414.0,2440.0,2350.0,2370.0,117.0
2024-01-31 23:00:00,2370.0,2423.0,2341.0,2423.0,61.0
2024-02-01 23:00:00,2360.0,2392.0,2265.0,2355.0,68.0
2024-02-02 23:00:00,2380.0,2384.0,2380.0,2384.0,4.0
2024-02-05 23:00:00,2358.0,2359.0,2358.0,2359.0,2.0
2024-02-06 23:00:00,2335.0,2338.0,2335.0,2338.0,19.0
2024-02-07 23:00:00,2341.0,2341.0,2222.0,2267.0,866.0
2024-02-08 23:00:00,2244.0,2279.0,2234.0,2273.0,472.0
2024-02-09 23:00:00,2273.0,2278.0,2256.0,2261.0,28.0
2024-02-12 23:00:00,2278.0,2368.0,2278.0,2368.0,164.0
2024-02-13 23:00:00,2301.0,2400.0,2301.0,2343.0,59.0
2024-02-14 23:00:00,2300.0,2341.0,2300.0,2341.0,14.0
2024-02-15 23:00:00,2342.0,2342.0,2342.0,2342.0,1.0
2024-02-16 23:00:00,2342.0,2418.0,2340.0,2374.0,154.0
2024-02-19 23:00:00,2398.0,2501.0,2398.0,2449.0,538.0
2024-02-20 23:00:00,2426.0,2442.0,2346.0,2400.0,106.0
2024-02-21 23:00:00,2400.0,2400.0,2283.0,2347.0,56.0
2024-02-22 23:00:00,2374.0,2399.0,2359.0,2399.0,24.0
2024-02-26 23:00:00,2400.0,2411.0,2399.0,2411.0,51.0
2024-02-27 23:00:00,2412.0,2468.0,2400.0,2404.0,51.0
2024-02-28 23:00:00,2449.0,2449.0,2240.0,2360.0,332.0
2024-02-29 23:00:00,2311.0,2471.0,2245.0,2306.0,540.0
2024-03-01 23:00:00,2355.0,2487.0,2276.0,2393.0,445.0
2024-03-04 23:00:00,2391.0,2495.0,2385.0,2485.0,1847.0
2024-03-05 23:00:00,2485.0,2640.0,2413.0,2451.0,1264.0
2024-03-06 23:00:00,2446.0,2453.0,2399.0,2453.0,660.0
2024-03-07 23:00:00,2417.0,2482.0,2350.0,2470.0,1146.0
2024-03-11 23:00:00,2479.0,2636.0,2475.0,2550.0,2271.0
2024-03-12 23:00:00,2548.0,2606.0,2502.0,2587.0,1229.0
2024-03-13 23:00:00,2594.0,2640.0,2518.0,2607.0,1210.0
2024-03-14 23:00:00,2590.0,2614.0,2520.0,2574.0,685.0
